clafam,nomfam,clatal,tyc,escandallo,componente,sergar,garmonth,multiuni,clauni,tactil,imagen,orden,favorito,impcocina,vtaonline,claparent,grupo,posimg,pvponline,palclave,imgweb,imgwebp,descr,ordenweb,atributos,pvpmin,claprinter,clagcocina,noagrupar,epigrafe
5.0,Libros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
8.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,249.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
10.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
11.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
17.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
19.0,SERVICIOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,317.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
20.0,Peluquería,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
21.0,Entrenamiento,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,
22.0,PERROS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,_5bg0mmv01_g.png,.\imagesonline\_5bg0mmv01_p.bmp,,12.0,,0.0,0.0,0.0,0.0,
24.0,RC Perro Pienso,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,190.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
25.0,GATOS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,_5bg0mn9fl_g.png,.\imagesonline\_5bg0mn9fl_p.bmp,,41.0,,0.0,0.0,0.0,0.0,
26.0,GATO Alimentos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,25.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
27.0,MURRI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,41.0,0.0,0.0,1.0,,,,,71.0,,0.0,0.0,0.0,0.0,
28.0,Natural Greatness Perro,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,225.0,0.0,0.0,1.0,,_54l0ojyr1_g.png,.\imagesonline\_54l0ojyr1_p.bmp,,100.0,,0.0,0.0,0.0,0.0,
30.0,Advantix,1.0,0.0,0.0,0.0,1.0,24.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,,_4yu13bcdh_g.png,.\imagesonline\_4yu13bcdh_p.bmp,,0.0,,0.0,0.0,0.0,0.0,
34.0,PERRO Antiparasitarios,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,_4yx15wxby_g.png,.\imagesonline\_4yx15wxby_p.bmp,,0.0,,0.0,0.0,0.0,0.0,
36.0,PECES Y REPTILES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,"Acuarofilia,peces,totanimal,castellon,vilareal,totanimal,mascotas",_54g0ybwmq_g.png,.\imagesonline\_54g0ybwmq_p.bmp,,56.0,,0.0,0.0,0.0,0.0,
38.0,PERRO Accesorios,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,22.0,1.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
40.0,AVES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,_54i12g24b_g.png,.\imagesonline\_54i12g24b_p.bmp,,55.0,,0.0,0.0,0.0,0.0,
41.0,AVES Alimentos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,40.0,1.0,0.0,1.0,,,,,70.0,,0.0,0.0,0.0,0.0,
43.0,Natural Greadness Gatos,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,26.0,0.0,0.0,1.0,,,,,101.0,,0.0,0.0,0.0,0.0,
44.0,PERROS Antiparasitarios,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,34.0,0.0,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,0.0,
